age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
41,Non-Private,103759,10,Married,Other,Husband,White,Male,3942,0,40,US,0
33,Non-Private,70164,13,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Male,0,0,60,US,0
32,Private,231263,10,Married,Managerial-Specialist,Husband,White,Male,0,0,50,US,0
30,Non-Private,112358,10,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
21,Private,228649,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
45,Private,146497,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,55,US,0
49,Private,240859,7,Married,Other,Husband,White,Male,0,0,40,Non-US,0
23,Private,224059,9,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
19,Private,188815,9,Non-Married,Other,Non-Husband,White,Female,34095,0,20,US,0
27,Private,245661,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
36,Non-Private,410034,13,Married,Managerial-Specialist,Husband,White,Male,0,1887,40,US,1
45,Non-Private,197332,10,Married,Other,Husband,White,Male,0,0,55,US,1
19,Private,188669,10,Non-Married,Other,Non-Husband,White,Female,0,0,25,US,0
35,Private,327164,12,Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,1
35,Private,162302,10,Non-Married,Other,Non-Husband,White,Female,0,0,32,US,0
23,Private,117606,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,60,US,0
62,Private,252134,4,Non-Married,Other,Non-Husband,White,Female,0,0,40,Non-US,0
43,Non-Private,72887,13,Non-Married,Other,Non-Husband,Non-White,Male,0,0,40,US,0
55,Non-Private,296991,15,Married,Managerial-Specialist,Husband,White,Male,15024,0,40,US,1
37,Private,193855,9,Married,Other,Husband,White,Male,0,0,45,US,0
24,Private,190293,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
18,Private,170094,9,Non-Married,Other,Non-Husband,White,Female,0,0,20,US,0
29,Private,126822,9,Married,Other,Husband,White,Male,0,0,35,US,0
19,Private,325217,9,Non-Married,Other,Non-Husband,White,Male,0,0,32,US,0
32,Private,193042,15,Married,Other,Husband,White,Male,15024,0,60,US,1
42,Private,144056,11,Married,Other,Husband,Non-White,Male,0,0,40,US,1
23,Private,73968,10,Married,Other,Husband,White,Male,0,0,50,US,0
23,Private,222835,13,Non-Married,Other,Non-Husband,White,Female,0,0,30,US,0
30,Private,172830,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,3325,0,40,US,0
41,Non-Private,401134,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
35,Private,183800,13,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
24,Private,143246,10,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,2597,0,45,US,0
44,Non-Private,691903,14,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,60,US,1
54,Private,96062,12,Married,Other,Husband,White,Male,0,0,40,US,1
51,Private,125796,7,Non-Married,Other,Non-Husband,Non-White,Female,0,0,40,Non-US,0
31,Private,124420,7,Married,Other,Husband,White,Male,0,0,40,US,0
23,Private,109952,10,Married,Other,Husband,White,Male,0,0,60,US,0
48,Private,93476,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,2001,40,US,0
32,Private,96016,13,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,45,US,0
35,Private,374524,15,Married,Managerial-Specialist,Husband,White,Male,0,0,75,US,1
23,Private,180795,10,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
68,Non-Private,202699,15,Married,Managerial-Specialist,Husband,White,Male,6418,0,35,US,1
26,Private,206600,13,Non-Married,Other,Non-Husband,White,Male,0,0,40,Non-US,0
42,Non-Private,79531,10,Married,Managerial-Specialist,Husband,White,Male,0,0,55,US,1
44,Private,125461,13,Married,Other,Husband,White,Male,0,0,40,US,1
35,Private,360799,9,Married,Other,Husband,White,Male,7298,0,40,US,1
50,Non-Private,103063,13,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
55,Private,144084,6,Married,Other,Husband,White,Male,0,0,40,US,0
37,Private,49626,11,Married,Other,Husband,White,Male,0,0,43,US,0
23,Private,292023,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,45,US,0
25,Private,273792,9,Non-Married,Other,Non-Husband,White,Male,0,0,37,US,0
26,Private,389856,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
38,Private,29874,13,Non-Married,Other,Non-Husband,White,Male,0,0,48,US,1
72,Private,33404,6,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,20,US,0
25,Private,295919,12,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
34,Private,279015,10,Non-Married,Other,Non-Husband,White,Male,0,0,65,US,0
68,Non-Private,177596,6,Non-Married,Other,Non-Husband,Non-White,Female,0,0,90,US,0
20,Private,151888,10,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
44,Private,88808,8,Married,Other,Husband,White,Male,0,0,40,US,0
43,Private,265434,7,Non-Married,Other,Non-Husband,Non-White,Male,0,0,40,US,0
31,Private,110643,13,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
57,Private,71367,9,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
74,Private,192290,6,Married,Managerial-Specialist,Husband,White,Male,0,0,20,US,0
46,Private,178642,9,Married,Other,Non-Husband,White,Female,0,0,40,US,1
51,Private,326005,9,Married,Managerial-Specialist,Husband,White,Male,0,0,40,Non-US,1
77,Non-Private,138714,10,Married,Other,Husband,White,Male,0,0,40,US,0
43,Non-Private,32451,9,Married,Other,Husband,White,Male,0,0,40,US,0
48,Private,44907,13,Non-Married,Other,Non-Husband,White,Female,0,0,45,US,0
55,Private,255364,10,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
36,Private,181589,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,32,Non-US,0
57,Non-Private,20953,14,Married,Other,Husband,White,Male,0,2129,70,US,0
34,Private,179641,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,45,US,0
44,Non-Private,210527,10,Non-Married,Other,Non-Husband,Non-White,Female,0,0,40,US,0
46,Private,212162,3,Married,Other,Husband,Non-White,Male,0,0,40,US,0
38,Private,186145,10,Married,Other,Non-Husband,White,Female,0,0,40,US,1
18,Private,280298,9,Non-Married,Other,Non-Husband,White,Female,0,0,24,US,0
31,Private,220915,11,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
39,Non-Private,174597,13,Married,Other,Husband,White,Male,0,0,42,US,0
24,Private,235071,7,Married,Other,Husband,White,Male,0,0,50,US,1
45,Private,195918,9,Married,Other,Husband,White,Male,0,0,60,US,0
57,Non-Private,212600,13,Married,Managerial-Specialist,Husband,White,Male,0,1977,40,US,1
38,Private,259846,9,Married,Other,Husband,White,Male,0,0,60,US,1
26,Non-Private,366662,9,Non-Married,Other,Non-Husband,White,Male,0,0,50,US,0
62,Private,224953,6,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,US,0
54,Non-Private,172898,15,Married,Managerial-Specialist,Husband,White,Male,5178,0,50,US,1
20,Non-Private,163965,9,Non-Married,Other,Non-Husband,Non-White,Female,0,0,40,US,0
44,Non-Private,124924,11,Non-Married,Other,Non-Husband,White,Male,0,0,44,US,0
25,Non-Private,31873,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
24,Private,160968,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
40,Non-Private,406811,10,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,1
20,Private,39477,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,30,US,0
30,Non-Private,361497,13,Married,Other,Husband,White,Male,0,0,72,US,1
56,Non-Private,175964,10,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
40,Private,99604,14,Married,Managerial-Specialist,Non-Husband,White,Female,15024,0,24,US,1
27,Private,126060,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
17,Private,365613,6,Non-Married,Other,Non-Husband,White,Male,0,0,10,Non-US,0
32,Non-Private,170108,9,Non-Married,Other,Non-Husband,White,Male,0,0,50,US,0
40,Private,335400,10,Married,Other,Husband,White,Male,0,0,40,Non-US,0
51,Private,914061,9,Non-Married,Other,Non-Husband,White,Male,0,0,50,US,0
55,Private,199067,7,Married,Managerial-Specialist,Husband,White,Male,0,0,32,US,0
55,Private,176317,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
48,Non-Private,130561,10,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,24,US,0
17,Private,231438,7,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,12,US,0
42,Private,204235,9,Married,Other,Husband,White,Male,0,0,40,US,0
21,Private,136975,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
59,Non-Private,167027,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
23,Non-Private,324960,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,Non-US,0
22,Private,188274,12,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
33,Non-Private,223046,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
46,Non-Private,213140,14,Married,Managerial-Specialist,Husband,White,Male,0,1977,40,US,1
51,Private,282549,9,Married,Managerial-Specialist,Husband,Non-White,Male,3137,0,40,US,0
21,Private,294295,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
33,Private,857532,8,Non-Married,Other,Non-Husband,Non-White,Male,0,0,40,US,0
34,Private,124827,6,Married,Other,Husband,White,Male,0,0,80,US,0
53,Private,223696,8,Non-Married,Other,Non-Husband,Non-White,Male,0,0,56,Non-US,0
42,Non-Private,194417,10,Married,Other,Husband,White,Male,0,0,40,US,1
31,Non-Private,186420,14,Non-Married,Other,Non-Husband,White,Female,0,0,25,US,0
52,Private,194259,4,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,50,US,0
28,Non-Private,35864,10,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,70,Non-US,1
52,Private,110748,14,Married,Managerial-Specialist,Husband,White,Male,0,0,50,US,1
62,Private,200834,14,Married,Managerial-Specialist,Husband,White,Male,0,0,55,US,0
33,Private,178587,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,37,US,0
36,Private,171968,9,Married,Other,Husband,White,Male,0,0,40,US,0
24,Private,198148,10,Non-Married,Other,Non-Husband,White,Male,0,0,30,US,0
25,Private,262778,13,Non-Married,Other,Non-Husband,White,Female,6849,0,50,US,0
35,Non-Private,147258,11,Non-Married,Other,Non-Husband,White,Male,0,0,65,US,0
33,Private,191856,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
40,Private,132839,10,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Male,0,0,40,US,0
40,Private,385266,10,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
54,Non-Private,114520,10,Married,Other,Husband,White,Male,0,0,40,US,0
41,Non-Private,248406,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
45,Non-Private,178344,11,Non-Married,Other,Non-Husband,White,Female,0,0,30,US,0
39,Private,82488,10,Non-Married,Other,Non-Husband,Non-White,Female,0,0,38,US,0
26,Private,402998,13,Married,Managerial-Specialist,Husband,White,Male,0,0,58,US,1
37,Private,218188,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,32,US,0
35,Private,37655,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,60,US,0
51,Non-Private,46281,10,Married,Other,Husband,White,Male,0,0,50,US,1
46,Private,118419,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,38,US,0
38,Non-Private,103474,13,Non-Married,Other,Non-Husband,White,Female,0,0,20,US,0
29,Private,130856,10,Married,Other,Husband,White,Male,0,0,60,US,0
57,Non-Private,47178,13,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,35,US,1
55,Private,199067,13,Married,Managerial-Specialist,Husband,White,Male,15024,0,42,US,1
42,Non-Private,165815,13,Married,Managerial-Specialist,Husband,White,Male,0,0,52,US,1
27,Non-Private,176727,13,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
41,Non-Private,193553,10,Married,Other,Husband,Non-White,Male,0,0,64,US,1
35,Non-Private,365739,9,Married,Other,Husband,White,Male,0,0,50,US,0
42,Non-Private,31621,12,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
31,Private,59083,9,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
38,Non-Private,316470,13,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
46,Non-Private,36228,9,Married,Other,Husband,White,Male,0,1902,40,US,0
49,Non-Private,218835,15,Married,Managerial-Specialist,Husband,White,Male,0,0,60,US,1
53,Private,136080,9,Non-Married,Other,Non-Husband,White,Female,0,0,50,US,0
55,Private,200453,10,Married,Other,Husband,White,Male,0,0,40,US,0
39,Private,225504,14,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
23,Private,238831,10,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
49,Non-Private,163229,3,Married,Other,Husband,White,Male,0,0,35,US,0
20,Private,129240,10,Non-Married,Other,Non-Husband,White,Female,0,0,30,US,0
46,Private,336984,9,Non-Married,Other,Non-Husband,White,Male,0,0,17,US,0
38,Private,207202,9,Married,Managerial-Specialist,Husband,White,Male,0,0,48,US,1
34,Non-Private,242984,13,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,50,US,0
28,Non-Private,209934,3,Married,Other,Husband,White,Male,0,0,25,Non-US,0
31,Private,177675,13,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
24,Non-Private,285580,13,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,25,US,0
40,Non-Private,173651,10,Married,Other,Husband,White,Male,0,0,45,US,0
27,Private,193898,13,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,52,US,0
38,Private,187748,13,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
31,Private,356882,9,Married,Managerial-Specialist,Husband,White,Male,5013,0,40,US,0
40,Non-Private,33658,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
33,Private,132601,13,Married,Other,Husband,White,Male,0,0,55,US,1
56,Non-Private,179594,9,Married,Managerial-Specialist,Husband,White,Male,0,0,48,US,0
41,Private,173370,13,Non-Married,Other,Non-Husband,White,Female,0,0,30,US,0
42,Non-Private,184018,9,Non-Married,Other,Non-Husband,White,Male,1151,0,50,US,0
29,Private,228860,10,Married,Managerial-Specialist,Husband,White,Male,0,1887,50,US,1
24,Private,254293,13,Non-Married,Managerial-Specialist,Non-Husband,White,Male,2174,0,45,US,0
27,Private,190525,13,Married,Managerial-Specialist,Husband,White,Male,7298,0,55,US,1
22,Private,124483,13,Non-Married,Other,Non-Husband,Non-White,Male,0,2339,40,Non-US,0
30,Private,370183,9,Married,Other,Husband,White,Male,0,0,40,US,0
33,Private,260782,4,Married,Other,Husband,White,Male,0,0,40,Non-US,0
25,Non-Private,282631,9,Married,Other,Husband,White,Male,0,0,40,US,0
34,Private,94413,10,Married,Other,Husband,White,Male,0,0,40,US,0
27,Private,151382,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
23,Private,149204,13,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
41,Non-Private,348059,14,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,1
30,Private,101859,4,Non-Married,Other,Non-Husband,White,Male,0,0,50,US,0
29,Private,210867,7,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
30,Private,187279,9,Married,Other,Husband,White,Male,0,0,44,US,0
41,Non-Private,187462,11,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,US,0
20,Private,131230,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,1590,40,US,0
25,Private,75821,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
36,Private,383566,13,Married,Managerial-Specialist,Husband,White,Male,15024,0,55,Non-US,1
46,Private,58126,9,Married,Other,Husband,White,Male,0,0,40,US,0
65,Non-Private,99359,15,Non-Married,Managerial-Specialist,Non-Husband,White,Male,1086,0,60,US,0
49,Non-Private,157569,9,Married,Managerial-Specialist,Husband,White,Male,0,0,46,US,0
26,Private,102875,12,Non-Married,Other,Non-Husband,White,Female,0,0,40,Non-US,0
49,Non-Private,276309,10,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
45,Private,294671,11,Married,Other,Husband,White,Male,4386,0,38,US,1
59,Non-Private,251890,6,Non-Married,Other,Non-Husband,White,Female,0,0,25,Non-US,0
32,Non-Private,300687,14,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Male,0,0,40,US,0
36,Private,164866,13,Married,Other,Husband,White,Male,0,0,40,US,0
60,Private,125832,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,72,Non-US,0
53,Non-Private,123011,14,Married,Managerial-Specialist,Husband,White,Male,0,0,60,US,1
30,Private,226943,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,35,US,0
53,Non-Private,229259,12,Married,Other,Husband,White,Male,0,0,45,US,1
17,Private,53611,8,Non-Married,Other,Non-Husband,White,Female,0,0,6,US,0
25,Private,391192,10,Non-Married,Other,Non-Husband,White,Male,0,0,24,US,0
49,Private,125421,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,38,US,0
43,Private,148998,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
18,Private,179597,9,Non-Married,Other,Non-Husband,White,Male,0,0,20,US,0
31,Private,375833,13,Married,Managerial-Specialist,Husband,White,Male,0,0,55,US,1
33,Private,188352,14,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Male,0,0,50,US,0
34,Private,152667,10,Married,Managerial-Specialist,Husband,White,Male,0,0,35,US,0
69,Private,165017,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,2538,0,40,US,0
25,Private,137301,12,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
39,Private,31053,10,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
39,Private,279490,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,Non-US,0
45,Private,240841,14,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
33,Non-Private,343021,10,Non-Married,Other,Non-Husband,White,Male,0,0,65,US,0
28,Non-Private,160731,13,Married,Other,Husband,White,Male,0,0,50,US,0
20,Private,236592,8,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,35,Non-US,0
26,Private,168251,9,Non-Married,Other,Non-Husband,Non-White,Male,0,0,40,US,0
43,Private,173728,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
25,Private,109419,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
24,Private,255252,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
50,Non-Private,160107,14,Married,Managerial-Specialist,Husband,White,Male,0,0,55,US,1
36,Private,187167,12,Married,Other,Non-Husband,White,Female,0,0,40,US,0
30,Private,296538,5,Non-Married,Other,Non-Husband,White,Male,0,0,30,US,0
42,Private,306496,9,Married,Other,Husband,White,Male,0,0,40,US,0
59,Non-Private,199240,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,20,Non-US,0
62,Private,261437,10,Married,Other,Husband,White,Male,0,0,40,US,0
69,Private,125437,9,Non-Married,Other,Non-Husband,White,Female,0,0,32,US,0
53,Non-Private,257728,9,Married,Other,Husband,White,Male,0,0,50,US,1
42,Non-Private,344920,10,Married,Other,Non-Husband,White,Female,0,0,50,US,0
24,Private,315303,9,Non-Married,Other,Non-Husband,Non-White,Male,0,0,25,US,0
33,Private,275632,9,Married,Other,Husband,White,Male,0,0,40,US,0
39,Private,106347,9,Married,Other,Husband,White,Male,0,0,40,US,0
29,Private,82393,9,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Male,0,0,40,Non-US,0
33,Private,101352,15,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,50,US,1
25,Private,122075,13,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,50,US,0
51,Private,162238,14,Married,Managerial-Specialist,Husband,White,Male,0,1887,47,US,1
36,Private,87520,9,Married,Other,Non-Husband,White,Female,0,0,40,US,0
40,Private,197344,13,Married,Managerial-Specialist,Husband,White,Male,0,0,65,US,1
22,Private,120320,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
49,Private,171128,4,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,US,0
53,Private,283079,2,Married,Other,Husband,White,Male,0,0,45,US,0
22,Private,88050,12,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,6,US,0
44,Private,203761,10,Married,Managerial-Specialist,Husband,White,Male,0,0,45,US,1
45,Private,330087,9,Married,Other,Husband,White,Male,0,0,40,US,0
50,Non-Private,276241,13,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
49,Private,187454,9,Married,Other,Husband,White,Male,99999,0,65,US,1
36,Private,292570,7,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
26,Private,198986,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
28,Private,312372,9,Married,Managerial-Specialist,Husband,Non-White,Male,15024,0,40,US,1
37,Private,167415,9,Married,Other,Husband,White,Male,0,0,50,US,0
27,Private,60374,9,Non-Married,Other,Non-Husband,White,Female,0,1594,26,US,0
43,Private,316820,12,Married,Managerial-Specialist,Husband,White,Male,7688,0,40,US,1
23,Private,206827,12,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,50,US,0
37,Private,177420,9,Married,Other,Husband,Non-White,Male,0,0,40,US,1
29,Private,331875,8,Non-Married,Other,Non-Husband,White,Male,0,0,40,Non-US,0
37,Private,67125,9,Non-Married,Other,Non-Husband,White,Male,0,0,60,US,0
39,Private,209867,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,13550,0,45,US,1
23,Non-Private,258120,10,Married,Other,Husband,White,Male,0,0,40,US,0
35,Private,132879,11,Married,Managerial-Specialist,Husband,White,Male,15024,0,40,Non-US,1
52,Private,284129,10,Married,Other,Husband,White,Male,0,0,40,US,1
40,Non-Private,175943,11,Married,Managerial-Specialist,Non-Husband,White,Female,0,1977,15,US,1
23,Private,218899,13,Non-Married,Other,Non-Husband,White,Female,0,0,60,US,0
41,Private,162140,9,Non-Married,Other,Non-Husband,White,Male,0,2339,40,US,0
39,Non-Private,119421,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,625,35,US,0
58,Private,193568,7,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
18,Private,225859,10,Non-Married,Other,Non-Husband,White,Male,2907,0,30,US,0
25,Private,121102,12,Non-Married,Other,Non-Husband,White,Female,0,2001,30,US,0
35,Non-Private,230268,10,Married,Other,Husband,White,Male,0,0,40,US,0
35,Non-Private,319831,10,Married,Other,Husband,White,Male,0,0,60,US,0
37,Private,200598,12,Married,Managerial-Specialist,Husband,White,Male,0,1740,45,US,0
36,Private,298635,13,Married,Other,Husband,Non-White,Male,0,0,40,Non-US,1
53,Private,271918,5,Married,Other,Husband,Non-White,Male,0,0,40,US,0
35,Non-Private,228493,2,Married,Managerial-Specialist,Husband,White,Male,4386,0,65,Non-US,0
32,Private,159187,11,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
28,Private,166634,9,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,US,0
71,Private,228806,5,Non-Married,Other,Non-Husband,Non-White,Female,0,0,6,US,0
66,Private,290578,4,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
65,Private,444725,15,Non-Married,Other,Non-Husband,White,Male,0,0,48,Non-US,1
29,Non-Private,337944,7,Non-Married,Other,Non-Husband,White,Male,0,0,60,US,0
25,Private,272167,13,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,30,US,0
34,Private,186269,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
37,Private,126569,14,Married,Managerial-Specialist,Husband,White,Male,0,1977,40,US,1
49,Private,240629,9,Non-Married,Other,Non-Husband,White,Male,0,0,38,US,0
27,Private,199118,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,Non-US,0
62,Non-Private,159908,13,Married,Managerial-Specialist,Non-Husband,White,Female,0,1258,38,US,0
60,Non-Private,235535,9,Married,Managerial-Specialist,Husband,White,Male,0,0,48,US,0
33,Private,127215,10,Married,Other,Husband,White,Male,0,0,48,US,1
32,Non-Private,235109,13,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
26,Private,195994,10,Non-Married,Other,Non-Husband,White,Female,0,0,15,US,0
42,Private,201732,10,Married,Other,Husband,White,Male,0,0,40,US,1
50,Private,138270,9,Married,Other,Non-Husband,Non-White,Female,0,0,40,US,0
61,Private,232308,9,Married,Other,Husband,White,Male,0,0,45,US,1
49,Non-Private,255928,9,Married,Other,Husband,White,Male,0,0,40,US,0
51,Private,30008,9,Married,Other,Husband,White,Male,0,0,60,US,0
35,Private,182203,10,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,Non-US,0
51,Non-Private,43878,16,Non-Married,Other,Non-Husband,White,Male,0,0,50,US,1
30,Private,161444,11,Married,Other,Husband,White,Male,0,0,38,US,0
43,Private,203233,9,Married,Other,Husband,White,Male,0,0,50,US,1
41,Private,93885,10,Non-Married,Other,Non-Husband,White,Female,0,0,48,US,0
34,Private,121966,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,45,US,0
19,Non-Private,136848,9,Non-Married,Other,Non-Husband,White,Male,0,0,6,US,0
35,Private,388252,11,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,US,0
36,Private,251730,10,Non-Married,Other,Non-Husband,White,Male,0,0,50,US,0
90,Non-Private,155981,13,Married,Managerial-Specialist,Husband,White,Male,10566,0,50,US,0
53,Non-Private,197189,9,Married,Other,Husband,White,Male,0,0,72,US,1
29,Private,251905,12,Married,Other,Husband,White,Male,0,0,45,US,0
24,Private,37072,10,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
22,Private,198244,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,39,US,0
29,Private,131310,12,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
25,Private,201737,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
39,Private,172538,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
54,Non-Private,204567,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
22,Private,163519,10,Non-Married,Other,Non-Husband,White,Male,0,0,25,US,0
42,Non-Private,218948,16,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,36,Non-US,0
43,Non-Private,263502,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
33,Private,256211,9,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,Non-US,0
35,Private,112077,9,Married,Other,Husband,White,Male,5013,0,40,US,0
33,Private,184901,9,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
27,Private,289484,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
