age,two_year_recid,c_charge_degree,race,sex,priors_count,length_of_stay,score
25,1,F,African-American,Male,5,4,0
27,1,F,African-American,Female,0,0,1
30,1,F,Other,Female,5,7,0
32,1,M,Other,Male,0,1,1
25,0,M,African-American,Male,1,0,1
38,0,M,Other,Male,2,1,1
27,1,M,African-American,Male,8,0,0
22,0,F,Other,Male,0,0,1
35,1,F,African-American,Male,1,1,1
22,0,F,African-American,Male,0,1,1
50,0,F,African-American,Male,1,0,1
23,1,F,African-American,Male,7,1,0
34,1,F,African-American,Male,3,33,1
25,1,F,African-American,Male,7,20,0
31,1,F,Other,Female,0,0,1
62,0,M,Other,Female,0,3,1
24,1,M,African-American,Male,0,15,0
31,0,M,African-American,Male,0,0,1
52,1,F,Other,Male,16,11,0
24,0,M,African-American,Male,1,1,1
38,0,M,Other,Male,0,1,1
32,0,M,African-American,Female,0,0,1
33,1,F,African-American,Male,2,0,0
25,1,F,African-American,Male,4,31,0
27,1,M,Other,Male,0,0,1
30,0,F,African-American,Male,10,93,0
31,0,M,African-American,Male,0,21,1
30,1,F,Other,Female,4,1,0
35,0,M,African-American,Male,8,8,0
47,0,M,Other,Male,5,4,1
26,1,M,African-American,Male,3,205,0
28,1,F,African-American,Male,9,53,0
35,0,F,African-American,Male,0,1,0
40,1,M,African-American,Male,24,1,0
29,1,F,Other,Male,7,1,0
47,1,F,African-American,Male,13,0,1
29,0,M,African-American,Male,4,0,1
23,1,F,African-American,Female,2,116,0
56,0,F,Other,Male,0,1,1
27,1,F,African-American,Male,6,0,0
27,0,F,African-American,Male,2,20,0
22,1,M,Other,Male,4,2,0
26,1,F,African-American,Male,2,3,1
37,1,F,Other,Male,0,2,1
22,0,F,African-American,Male,1,0,1
49,0,F,Other,Male,3,0,1
25,0,M,African-American,Male,6,32,0
33,0,M,Other,Male,1,0,1
26,0,F,Other,Male,1,5,1
63,0,M,Other,Male,5,4,1
28,1,F,Other,Female,3,0,0
27,0,F,Other,Female,0,0,0
39,1,F,Other,Male,9,1,0
31,1,F,Other,Male,0,-1,0
23,1,F,African-American,Male,3,53,0
55,0,M,African-American,Female,1,2,1
43,0,F,African-American,Female,6,0,0
30,1,M,Other,Female,3,1,1
33,1,F,African-American,Male,19,0,0
57,0,F,African-American,Male,0,1,1
27,0,F,Other,Male,1,5,1
27,1,M,Other,Female,0,-1,1
29,1,F,Other,Female,10,7,1
38,0,M,African-American,Male,0,1,1
28,0,F,African-American,Male,4,0,0
35,1,M,African-American,Male,8,62,0
24,0,F,African-American,Male,0,-1,1
25,0,M,Other,Female,0,0,1
21,1,F,African-American,Male,1,1,0
31,0,F,African-American,Male,3,0,0
47,1,F,Other,Female,28,117,0
35,0,M,African-American,Male,4,1,0
35,0,F,Other,Female,0,1,1
21,1,F,Other,Male,0,28,1
47,1,F,African-American,Male,7,1,1
24,1,F,African-American,Male,3,1,0
23,0,M,African-American,Male,0,32,0
62,0,M,Other,Male,0,1,1
19,1,M,African-American,Female,0,1,0
39,1,F,African-American,Female,22,3,0
59,0,F,African-American,Male,1,0,1
40,0,M,African-American,Male,0,2,1
23,1,F,Other,Male,3,3,0
51,0,M,Other,Male,1,1,1
31,0,M,African-American,Male,1,1,1
30,0,M,African-American,Male,1,4,1
24,0,F,Other,Male,0,1,1
22,1,F,African-American,Male,1,1,1
23,1,F,Other,Male,3,41,1
25,1,F,African-American,Male,2,1,0
29,1,F,African-American,Male,17,15,0
28,0,M,Other,Female,0,0,1
28,1,F,Other,Female,2,0,0
29,0,F,African-American,Female,0,1,0
25,0,F,African-American,Male,1,0,1
28,1,M,African-American,Female,9,12,0
23,0,F,African-American,Male,0,1,1
45,1,F,Other,Male,1,5,1
23,1,F,Other,Male,1,0,1
32,0,F,Other,Male,7,1,0
39,1,F,Other,Female,8,31,0
31,0,M,Other,Male,0,0,1
23,0,F,African-American,Male,2,0,1
46,1,F,African-American,Male,5,2,0
40,0,F,African-American,Male,1,1,1
27,1,F,African-American,Male,6,0,0
46,1,F,Other,Male,2,2,1
29,0,M,African-American,Female,0,1,1
43,0,F,Other,Male,1,1,1
32,0,F,African-American,Male,1,0,1
28,0,M,Other,Female,0,0,1
26,0,F,African-American,Male,7,19,0
26,1,M,African-American,Male,8,26,1
26,0,M,African-American,Male,0,0,0
29,1,M,African-American,Male,2,2,1
49,0,M,African-American,Male,1,10,0
48,0,F,Other,Female,0,1,1
25,0,M,African-American,Male,0,0,1
19,1,F,African-American,Male,2,1,0
24,0,M,Other,Male,0,1,1
29,0,M,Other,Male,0,-1,1
57,0,M,Other,Male,0,0,1
26,1,F,African-American,Male,10,1,0
35,1,F,African-American,Female,5,7,0
36,0,F,Other,Male,0,5,1
37,0,F,African-American,Male,24,19,0
30,1,M,Other,Male,2,0,1
24,0,F,African-American,Male,0,1,1
53,0,F,Other,Male,0,0,1
32,1,M,African-American,Male,12,1,0
24,0,F,Other,Male,0,15,0
65,0,F,Other,Female,0,0,1
25,0,F,African-American,Male,0,7,1
37,1,F,African-American,Male,17,1,0
26,1,F,Other,Male,2,1,0
25,1,F,African-American,Male,11,6,0
25,1,F,African-American,Male,1,28,0
29,1,F,Other,Female,20,56,0
35,0,F,Other,Male,1,2,1
21,1,F,African-American,Male,0,7,0
23,1,M,Other,Male,0,0,1
47,1,M,Other,Male,13,66,1
58,0,F,Other,Male,1,1,1
37,0,M,African-American,Female,0,0,1
23,0,M,African-American,Female,6,17,0
27,1,F,African-American,Male,3,0,0
25,0,F,African-American,Male,3,1,0
51,0,F,African-American,Male,1,0,0
21,1,F,African-American,Male,0,1,0
44,1,F,Other,Male,0,8,1
56,0,F,Other,Female,1,169,0
56,0,M,Other,Male,1,1,1
26,0,F,African-American,Male,6,1,0
34,0,M,Other,Male,0,0,1
43,1,F,African-American,Male,9,0,0
21,1,F,African-American,Male,1,49,0
24,1,F,Other,Male,3,0,0
23,1,F,African-American,Male,1,1,0
33,0,F,Other,Male,2,1,1
25,1,F,African-American,Male,5,49,0
24,0,M,African-American,Male,0,1,1
24,0,F,African-American,Male,0,0,0
26,0,M,African-American,Male,0,0,1
24,0,F,Other,Male,0,0,1
21,0,F,Other,Male,3,22,0
24,0,F,Other,Male,3,0,0
27,1,F,African-American,Male,7,34,0
46,0,M,African-American,Female,7,18,0
43,1,F,Other,Male,13,51,1
26,0,F,Other,Female,0,0,1
28,1,F,African-American,Male,5,170,0
21,1,M,Other,Male,0,0,1
48,1,F,African-American,Male,8,11,0
27,0,M,African-American,Male,0,1,1
64,0,M,Other,Male,0,0,1
31,0,F,Other,Male,0,80,0
26,1,M,African-American,Male,0,0,1
40,1,M,Other,Male,0,29,0
34,1,F,African-American,Male,9,0,0
42,0,M,Other,Male,1,0,1
27,0,M,African-American,Female,0,1,1
26,1,M,African-American,Male,3,1,1
22,1,F,African-American,Male,0,32,0
23,1,F,African-American,Male,4,0,0
21,0,F,African-American,Male,1,1,0
44,0,M,African-American,Male,0,2,1
24,1,M,African-American,Male,9,4,0
39,0,F,Other,Male,0,1,1
47,0,M,African-American,Male,1,1,1
49,1,F,Other,Male,1,20,1
42,0,F,African-American,Female,0,0,1
32,0,M,African-American,Male,2,109,0
32,0,F,Other,Female,1,0,1
25,0,F,Other,Female,0,0,1
31,1,F,African-American,Male,2,3,0
35,1,F,African-American,Female,7,1,0
57,0,F,Other,Male,0,4,1
33,0,F,African-American,Male,0,0,1
24,0,F,African-American,Male,3,93,0
35,1,M,African-American,Male,10,0,0
55,1,F,Other,Male,1,1,1
24,0,M,African-American,Female,0,0,0
23,1,F,African-American,Male,5,1,0
21,0,F,African-American,Male,0,2,0
49,0,F,Other,Female,0,-1,1
27,1,M,African-American,Male,5,6,0
23,0,M,Other,Male,1,9,1
23,1,M,African-American,Male,1,1,1
30,0,M,African-American,Female,0,0,1
40,0,M,African-American,Male,1,1,1
28,0,F,African-American,Male,7,1,0
38,1,F,Other,Male,3,1,1
35,0,F,Other,Male,0,0,0
22,1,F,African-American,Male,0,0,1
47,0,F,Other,Male,3,0,1
27,0,F,African-American,Male,2,3,1
22,1,F,African-American,Male,1,-1,0
30,1,F,African-American,Male,9,8,0
35,0,F,African-American,Male,0,0,1
20,0,F,African-American,Female,0,0,1
37,1,M,African-American,Male,8,1,1
27,0,M,African-American,Male,0,1,1
36,0,F,Other,Male,2,0,1
30,0,M,Other,Female,0,0,0
25,0,F,African-American,Male,1,0,1
22,1,M,African-American,Male,1,0,0
59,0,F,Other,Female,1,5,1
52,1,F,African-American,Female,0,0,0
31,0,M,African-American,Female,0,4,0
37,0,M,Other,Female,0,0,1
30,1,M,African-American,Male,3,5,1
52,0,F,African-American,Female,0,2,1
50,1,F,Other,Male,0,35,1
35,0,F,African-American,Male,2,1,1
36,0,F,Other,Male,1,1,1
36,1,M,Other,Male,9,1,1
38,0,M,Other,Male,0,0,1
27,0,F,African-American,Male,0,3,0
24,0,F,African-American,Male,4,4,0
80,0,M,Other,Male,0,0,1
35,1,F,African-American,Male,6,10,0
40,0,M,Other,Female,0,0,1
23,1,F,African-American,Male,4,143,0
35,0,F,Other,Female,3,0,1
25,1,F,Other,Male,2,0,0
26,1,F,African-American,Male,4,1,0
35,1,M,Other,Male,0,15,0
22,1,F,African-American,Male,1,0,1
27,1,M,Other,Male,2,1,1
26,0,F,African-American,Female,3,27,0
24,1,M,African-American,Male,0,20,0
36,0,F,Other,Male,5,0,1
56,0,F,African-American,Male,4,2,1
29,0,F,Other,Male,0,0,1
67,0,F,Other,Male,0,1,1
58,0,M,Other,Female,1,-1,1
33,0,M,African-American,Male,6,0,0
68,0,M,Other,Male,0,3,1
51,0,M,African-American,Male,17,0,1
30,1,F,African-American,Male,5,180,1
33,1,F,Other,Male,0,83,1
35,0,F,Other,Male,2,1,1
29,0,M,Other,Male,0,0,1
45,0,M,African-American,Male,4,3,1
48,0,F,African-American,Male,6,1,1
34,0,M,African-American,Female,0,1,1
22,1,M,Other,Male,0,9,1
24,0,F,African-American,Male,1,33,0
26,0,M,African-American,Male,0,0,0
26,1,F,African-American,Male,3,0,1
46,0,F,African-American,Female,4,0,1
59,0,F,Other,Male,0,0,1
49,0,M,Other,Female,4,3,1
44,0,F,Other,Male,4,1,1
37,1,F,Other,Male,3,83,1
23,1,M,African-American,Male,4,11,0
44,0,F,African-American,Male,0,3,1
35,1,F,African-American,Male,5,225,1
36,0,F,African-American,Male,2,0,1
21,1,F,African-American,Male,0,6,0
24,1,M,African-American,Male,9,3,0
22,1,F,African-American,Male,1,6,0
27,1,M,Other,Male,0,0,1
27,1,F,Other,Male,0,0,1
26,1,F,African-American,Male,9,11,0
31,1,F,African-American,Male,2,-1,0
22,0,F,African-American,Male,3,0,0
23,1,M,Other,Male,4,2,0
69,0,M,Other,Male,0,0,1
33,1,M,African-American,Male,1,1,1
51,0,M,Other,Male,0,0,1
19,1,F,African-American,Male,1,1,0
34,0,F,African-American,Male,1,0,0
44,0,M,Other,Female,0,0,1
27,1,F,African-American,Male,4,0,0
43,0,F,African-American,Female,2,2,1
56,0,M,Other,Male,2,16,1
51,1,M,African-American,Male,7,3,0
30,0,F,African-American,Male,1,0,1
27,1,M,African-American,Male,2,0,1
34,1,F,African-American,Male,0,33,0
46,0,M,Other,Male,0,0,1
66,0,M,Other,Male,0,1,1
25,0,M,Other,Male,0,0,1
61,0,M,African-American,Male,1,2,1
23,1,F,Other,Male,3,9,0
71,0,F,Other,Male,13,0,1
52,0,M,Other,Female,0,0,1
30,0,M,Other,Male,0,1,1
49,0,F,Other,Male,0,-1,1
20,0,F,Other,Male,1,0,1
35,0,F,African-American,Female,13,2,0
43,1,F,Other,Male,2,5,1
33,1,F,African-American,Male,3,11,0
47,0,M,African-American,Male,0,1,1
40,0,F,Other,Male,9,0,0
22,0,F,African-American,Male,0,-1,1
39,1,F,Other,Female,10,0,1
35,0,F,Other,Male,1,0,1
22,1,M,Other,Male,0,0,0
29,0,F,Other,Female,0,0,0
37,1,F,African-American,Male,16,2,0
28,1,F,Other,Male,0,1,1
27,1,M,African-American,Male,3,12,1
50,1,M,Other,Male,3,25,1
30,1,F,African-American,Male,1,132,1
33,0,M,African-American,Male,2,1,1
30,0,M,African-American,Female,0,1,1
21,1,M,Other,Male,1,0,0
27,0,M,African-American,Male,1,16,0
45,0,M,Other,Male,1,0,1
61,0,M,Other,Male,1,0,1
22,1,M,Other,Male,1,1,0
34,0,F,Other,Male,5,1,1
45,0,F,Other,Male,0,13,1
33,0,F,Other,Female,0,0,1
23,1,F,Other,Male,11,3,0
24,0,M,African-American,Male,0,0,0
33,1,F,African-American,Male,5,0,0
37,0,M,Other,Male,1,0,1
29,1,F,Other,Male,4,3,1
35,0,F,African-American,Male,1,0,1
28,0,F,Other,Male,2,0,0
59,0,M,Other,Male,1,0,1
42,0,F,Other,Female,0,1,1
29,1,F,Other,Male,17,2,0
23,1,M,African-American,Male,3,13,0
30,0,M,Other,Female,0,0,1
29,1,F,African-American,Male,13,1,0
47,0,F,African-American,Male,9,64,1
24,1,F,African-American,Male,2,1,1
57,1,F,African-American,Male,0,0,1
29,0,F,African-American,Male,0,1,1
29,1,M,African-American,Male,1,1,1
26,0,M,Other,Male,7,68,0
24,1,F,African-American,Male,3,-1,0
39,1,F,African-American,Male,0,0,1
37,1,F,Other,Male,7,69,0
52,0,M,Other,Male,2,3,1
20,1,F,African-American,Male,4,376,0
27,0,F,African-American,Male,11,4,0
55,1,F,Other,Male,33,242,0
27,1,F,Other,Female,0,2,1
21,0,M,African-American,Male,1,1,1
44,0,M,Other,Male,1,1,1
27,1,F,African-American,Male,2,1,0
41,0,M,African-American,Male,7,1,1
35,0,M,African-American,Male,2,1,0
25,0,M,Other,Male,0,0,1
32,0,M,Other,Male,6,27,0
45,1,F,Other,Male,21,1,0
28,0,M,Other,Female,0,0,1
26,1,M,Other,Male,9,1,0
22,0,F,Other,Male,1,8,1
50,1,F,Other,Male,9,424,1
21,0,F,Other,Male,0,0,1
29,0,F,Other,Female,1,1,1
47,0,F,African-American,Male,5,0,1
60,1,F,Other,Female,0,1,1
25,1,M,Other,Male,0,0,1
32,1,F,Other,Male,3,-1,0
34,0,F,African-American,Male,1,-1,0
31,1,M,Other,Male,3,0,1
52,0,F,African-American,Male,2,3,1
22,0,F,Other,Male,0,0,1
31,0,M,African-American,Female,0,-1,1
26,0,F,Other,Female,0,0,0
34,0,M,Other,Male,0,1,1
21,0,M,African-American,Female,0,0,0
24,0,F,African-American,Female,0,1,1
22,0,F,African-American,Male,0,0,1
46,0,F,Other,Male,0,5,1
30,1,M,Other,Male,0,1,0
42,0,F,African-American,Male,5,2,0
47,1,F,African-American,Male,23,403,0
21,0,F,African-American,Female,2,12,0
35,1,M,African-American,Male,14,0,0
36,1,M,African-American,Male,0,1,1
21,0,F,African-American,Male,0,1,1
27,1,F,Other,Male,2,0,0
25,1,M,African-American,Male,11,29,0
24,0,F,African-American,Female,0,1,0
42,0,M,Other,Female,0,0,1
57,0,M,Other,Male,0,1,1
22,0,F,Other,Male,0,1,1
27,0,M,Other,Male,2,0,1
44,0,F,Other,Male,0,11,1
30,0,F,Other,Male,0,1,1
32,0,F,Other,Female,4,0,1
33,0,F,African-American,Female,5,186,0
48,0,F,Other,Male,0,33,1
26,1,M,Other,Male,9,1,1
42,1,F,African-American,Male,17,32,0
24,1,F,Other,Female,6,3,0
41,0,F,African-American,Male,4,0,0
59,0,M,Other,Male,0,0,1
47,1,M,African-American,Male,1,2,1
23,0,M,African-American,Female,0,1,1
30,0,F,African-American,Male,4,-1,1
24,1,F,Other,Male,0,36,0
32,0,F,Other,Female,0,1,1
38,0,F,Other,Female,0,1,1
30,0,M,African-American,Male,18,17,0
27,1,F,African-American,Female,3,2,0
43,1,F,Other,Male,0,0,0
44,0,M,Other,Male,0,0,1
24,0,F,African-American,Male,3,75,0
44,1,F,Other,Male,0,1,1
34,1,M,Other,Male,1,0,1
51,1,F,Other,Male,6,2,1
41,1,F,Other,Male,1,1,1
42,0,F,African-American,Male,0,0,1
23,0,M,Other,Male,2,1,1
29,0,F,African-American,Male,0,1,0
29,1,F,African-American,Male,6,22,0
21,0,F,African-American,Male,0,5,0
30,0,M,Other,Male,0,0,1
59,1,F,Other,Male,1,0,1
29,1,M,African-American,Male,1,0,1
47,1,M,African-American,Male,23,0,0
28,1,F,African-American,Male,2,1,0
46,0,F,Other,Male,1,1,1
56,0,M,Other,Male,0,0,1
22,1,F,Other,Male,1,1,1
31,0,F,Other,Male,5,1,1
25,0,F,African-American,Male,7,18,0
67,1,F,Other,Male,0,24,1
33,1,M,African-American,Male,1,1,1
54,1,M,African-American,Male,12,118,0
24,0,M,African-American,Male,0,0,1
50,1,F,Other,Male,0,0,1
52,0,F,Other,Male,2,1,1
41,1,F,African-American,Male,8,0,0
36,1,F,African-American,Male,26,0,0
21,1,F,African-American,Male,0,42,0
39,0,F,African-American,Male,2,0,1
42,0,M,African-American,Male,4,0,1
46,0,F,Other,Male,0,0,1
29,0,M,Other,Male,1,0,0
59,0,M,Other,Male,3,2,1
47,0,F,Other,Male,1,183,0
29,0,F,Other,Male,5,0,1
20,1,M,Other,Male,0,1,1
47,0,F,Other,Male,2,6,1
43,0,M,Other,Male,0,0,1
31,1,F,African-American,Female,9,0,0
42,1,M,Other,Female,4,0,0
40,0,F,African-American,Male,0,1,1
22,1,F,Other,Male,0,32,1
35,0,F,African-American,Male,2,-1,1
58,0,M,Other,Female,0,0,1
20,1,F,African-American,Male,1,6,0
48,0,M,African-American,Male,12,-1,0
26,0,F,African-American,Female,1,1,0
21,0,M,African-American,Male,0,1,1
25,0,F,Other,Female,0,0,1
35,1,F,African-American,Male,0,1,0
37,0,M,Other,Male,0,0,1
35,0,F,African-American,Male,1,0,1
22,1,F,Other,Female,3,2,0
21,1,M,African-American,Male,0,97,0
32,0,F,Other,Male,11,141,0
29,0,M,African-American,Male,0,1,1
24,0,M,Other,Male,1,2,1
53,1,F,Other,Male,3,197,1
36,0,M,African-American,Female,0,0,0
36,1,F,African-American,Male,14,173,0
32,0,M,African-American,Female,3,1,0
48,1,F,African-American,Male,25,6,0
26,1,F,African-American,Female,4,0,0
23,0,M,African-American,Male,1,3,0
56,1,F,African-American,Male,5,597,1
62,0,M,Other,Male,0,2,1
50,0,M,Other,Male,0,0,1
30,1,F,Other,Male,5,2,0
34,1,M,Other,Male,5,6,1
32,1,F,African-American,Male,19,1,0
62,0,M,Other,Female,0,0,1
20,1,M,African-American,Female,0,4,0
25,1,F,African-American,Male,4,43,0
31,1,M,African-American,Male,3,19,0
47,1,F,Other,Male,2,1,1
54,0,M,African-American,Male,0,1,1
23,0,F,African-American,Female,1,0,1
25,1,M,African-American,Female,0,1,1
26,0,F,African-American,Male,0,2,1
37,0,M,Other,Female,1,1,1
22,0,F,African-American,Male,1,1,0
61,1,M,African-American,Male,4,2,0
34,1,M,African-American,Male,21,5,0
20,1,F,Other,Male,2,21,0
23,1,M,Other,Male,0,0,1
19,1,F,African-American,Female,1,2,1
54,0,M,Other,Male,0,-1,1
26,1,F,Other,Female,1,0,0
30,1,M,Other,Male,4,0,0
38,1,M,Other,Male,5,0,0
24,1,F,African-American,Male,6,1,0
40,1,F,Other,Male,8,40,0
23,0,M,Other,Female,1,0,1
39,1,F,Other,Male,1,0,1
36,1,F,Other,Female,9,0,1
43,0,M,Other,Male,2,1,1
28,0,F,African-American,Male,8,40,0
32,0,M,Other,Male,0,0,1
54,0,F,African-American,Male,4,1,1
23,0,F,African-American,Male,6,0,0
36,0,F,African-American,Male,6,84,0
25,0,F,Other,Male,0,1,1
61,1,F,African-American,Male,1,0,1
45,1,F,Other,Male,20,2,1
24,1,F,African-American,Male,4,3,1
56,0,M,Other,Male,0,0,1
33,1,F,Other,Male,0,0,0
37,0,F,African-American,Male,11,1,1
43,1,F,African-American,Male,4,1,1
33,0,F,African-American,Female,1,0,1
21,1,F,African-American,Male,0,1,0
24,1,F,African-American,Male,3,0,0
29,0,F,African-American,Female,0,0,1
29,1,M,African-American,Male,10,108,0
22,1,F,African-American,Male,0,7,1
22,1,F,Other,Male,0,0,1
35,0,F,Other,Male,2,0,1
24,0,F,Other,Female,0,0,1
39,0,F,African-American,Male,0,18,1
59,0,M,Other,Female,0,0,1
23,0,F,African-American,Female,1,0,1
51,0,F,African-American,Female,7,1,1
53,0,M,Other,Female,1,0,1
21,1,M,African-American,Male,2,35,0
56,0,M,African-American,Female,0,3,1
26,1,F,African-American,Male,10,2,0
44,0,M,Other,Male,16,81,0
46,1,M,African-American,Male,1,1,0
40,0,F,Other,Female,0,1,1
22,1,M,African-American,Female,0,0,0
47,0,M,Other,Male,1,0,1
22,0,M,African-American,Female,0,7,0
25,1,F,Other,Male,0,0,1
20,1,F,African-American,Male,0,-1,1
42,1,F,African-American,Male,7,1,0
29,0,F,African-American,Male,2,37,0
20,0,F,Other,Male,0,0,1
33,1,F,African-American,Male,0,0,1
30,0,F,African-American,Male,0,3,1
25,0,M,Other,Male,0,0,1
26,1,F,African-American,Male,2,0,1
20,1,F,African-American,Male,2,0,0
29,0,M,African-American,Male,0,1,1
24,1,F,Other,Male,1,0,1
30,1,F,Other,Male,3,12,1
37,0,M,African-American,Male,0,0,0
61,0,M,Other,Male,0,2,1
38,0,F,Other,Male,17,180,0
42,1,F,Other,Male,1,51,1
22,1,F,African-American,Male,1,5,0
42,0,F,African-American,Female,1,0,0
47,0,F,African-American,Male,3,1,1
28,1,F,African-American,Male,6,0,0
69,0,M,Other,Male,0,0,1
26,0,F,African-American,Male,0,2,1
27,0,M,African-American,Male,1,0,0
28,0,F,Other,Male,3,50,1
26,1,M,African-American,Male,0,0,1
46,0,F,Other,Male,1,10,1
54,1,M,Other,Male,14,28,1
39,0,F,Other,Female,0,1,1
22,1,F,African-American,Male,1,1,0
25,0,F,Other,Male,2,29,0
41,1,F,Other,Male,31,242,0
26,1,M,African-American,Male,3,2,0
50,0,F,Other,Male,3,14,1
20,0,F,Other,Female,0,0,0
48,0,M,African-American,Male,0,1,1
57,0,M,Other,Male,12,3,0
55,0,F,African-American,Female,2,1,1
28,1,M,Other,Male,5,26,0
35,0,F,African-American,Female,2,14,0
32,1,M,African-American,Female,0,-1,1
21,0,M,Other,Male,0,0,0
28,0,M,African-American,Male,7,0,0
35,0,M,African-American,Male,1,-1,1
35,1,F,African-American,Male,1,0,0
29,0,F,Other,Male,1,0,1
38,0,M,African-American,Female,0,1,1
35,0,M,African-American,Male,1,1,1
35,0,M,Other,Male,2,0,1
24,0,F,Other,Male,0,1,1
22,1,F,African-American,Male,0,0,0
32,0,F,African-American,Male,1,0,1
34,0,F,Other,Male,5,1,1
56,0,F,Other,Male,1,0,1
21,0,M,Other,Male,0,1,1
54,0,F,African-American,Female,6,1,1
33,1,F,Other,Male,3,1,0
24,1,F,African-American,Male,1,6,1
26,0,F,African-American,Male,2,8,1
30,0,M,Other,Male,0,56,1
23,1,F,African-American,Male,1,0,0
38,0,M,African-American,Male,4,0,1
50,0,F,Other,Male,0,0,1
31,1,F,African-American,Male,0,1,1
35,0,M,African-American,Male,1,64,0
21,1,F,African-American,Female,0,33,0
42,1,F,Other,Female,1,21,1
42,0,F,African-American,Male,1,0,1
23,0,M,African-American,Female,0,0,1
34,0,F,Other,Male,1,0,0
24,0,F,Other,Male,0,0,1
28,1,F,Other,Female,0,0,1
34,1,F,African-American,Male,6,13,0
31,0,F,African-American,Male,0,0,0
32,0,F,Other,Male,0,0,1
30,0,F,Other,Male,0,5,1
57,0,F,African-American,Male,3,1,1
41,0,M,Other,Female,1,29,1
29,0,M,African-American,Male,0,1,1
35,1,F,Other,Male,1,49,1
25,0,F,Other,Female,5,0,0
56,0,M,Other,Male,1,2,1
28,0,M,African-American,Female,0,1,1
24,1,F,Other,Male,3,-1,1
49,0,F,Other,Male,2,0,1
23,0,F,African-American,Male,1,0,0
25,1,M,Other,Male,6,1,0
42,0,F,Other,Male,1,292,1
44,0,F,Other,Male,0,1,1
33,0,F,Other,Female,1,84,0
58,0,F,Other,Male,1,10,1
28,1,F,African-American,Male,10,243,0
38,0,F,African-American,Male,9,2,0
40,1,F,Other,Male,4,33,1
28,0,F,African-American,Male,1,15,1
60,0,M,Other,Male,2,10,1
64,0,M,Other,Male,1,0,1
38,1,F,African-American,Male,2,9,0
39,0,F,African-American,Male,1,4,1
55,0,M,Other,Male,3,1,1
28,1,F,African-American,Male,2,1,1
50,1,F,Other,Female,1,0,1
50,0,F,Other,Male,0,30,0
30,0,F,African-American,Male,2,0,1
49,1,M,African-American,Male,0,4,1
25,1,M,Other,Male,2,0,1
25,0,M,African-American,Female,0,0,1
28,0,M,Other,Male,2,1,1
22,1,M,Other,Female,2,2,0
48,0,M,African-American,Male,0,1,1
79,0,M,Other,Male,1,1,1
23,0,M,Other,Male,0,1,0
25,1,M,African-American,Male,2,4,1
27,0,F,Other,Female,6,1,0
60,1,F,African-American,Male,13,2,0
33,0,M,Other,Male,0,1,1
30,0,F,Other,Male,2,1,1
28,0,F,African-American,Male,1,0,0
58,0,F,Other,Male,2,1,1
42,1,M,Other,Male,1,0,1
28,0,F,Other,Male,2,49,1
34,1,F,Other,Female,0,62,1
36,0,F,African-American,Female,1,1,1
27,0,M,Other,Male,0,1,1
52,0,M,Other,Male,7,0,1
26,0,M,African-American,Male,5,1,0
35,1,M,Other,Male,3,0,0
27,1,F,African-American,Male,6,34,0
26,1,M,African-American,Male,13,7,0
28,1,F,African-American,Male,5,0,0
25,1,F,Other,Female,2,0,0
24,0,M,Other,Female,7,1,0
48,1,M,Other,Male,0,0,0
22,1,F,African-American,Female,0,6,1
22,1,M,Other,Male,3,10,0
28,1,F,African-American,Male,1,5,1
41,0,F,Other,Male,1,62,0
31,1,F,Other,Male,5,1,1
21,0,F,African-American,Male,0,0,0
21,0,F,Other,Male,1,-1,0
22,1,F,African-American,Male,1,0,0
27,0,F,Other,Male,0,4,1
21,0,F,Other,Female,0,2,0
29,0,M,African-American,Male,3,1,1
36,0,M,Other,Male,0,0,1
24,0,F,Other,Male,0,0,1
32,1,M,Other,Male,2,0,0
57,1,F,African-American,Male,1,25,0
37,0,F,Other,Male,0,0,1
22,0,F,African-American,Male,1,0,0
21,0,F,Other,Male,1,1,0
37,0,M,African-American,Female,0,5,1
42,0,M,Other,Male,6,1,1
26,0,F,African-American,Female,0,0,1
21,0,M,African-American,Male,0,3,0
57,1,M,African-American,Male,16,12,0
53,0,F,Other,Male,18,1,1
25,0,F,African-American,Female,0,5,0
42,1,M,African-American,Male,13,0,0
23,0,M,Other,Male,1,0,1
21,1,F,Other,Male,4,0,0
38,0,M,Other,Male,0,0,1
51,0,M,African-American,Male,0,1,1
50,0,F,African-American,Male,0,0,1
56,0,F,African-American,Female,1,1,1
28,0,M,Other,Male,0,2,1
25,1,F,African-American,Male,21,117,0
35,1,M,African-American,Male,12,1,0
29,1,F,African-American,Male,8,13,0
21,1,F,African-American,Male,2,7,0
26,1,F,Other,Male,7,0,0
57,1,F,African-American,Male,8,99,0
39,0,M,Other,Male,0,2,1
27,0,F,African-American,Female,3,0,0
28,0,F,African-American,Male,0,0,1
40,0,M,African-American,Female,4,1,1
34,0,M,Other,Female,3,10,0
24,1,F,Other,Male,3,17,0
24,1,M,African-American,Male,3,0,0
25,0,F,Other,Male,2,0,0
56,0,F,Other,Female,3,0,1
32,1,M,African-American,Male,11,1,0
22,1,F,Other,Male,5,2,1
33,0,M,African-American,Female,0,1,1
25,1,F,African-American,Male,5,155,0
29,1,M,Other,Male,12,39,0
46,1,M,Other,Male,0,37,1
51,1,M,Other,Female,0,7,1
27,1,F,African-American,Male,9,24,0
29,1,M,African-American,Male,0,1,1
38,1,F,Other,Male,5,3,1
46,1,F,African-American,Female,2,9,0
32,0,M,Other,Male,0,0,1
